Date,Open,High,Low,Close,Change %
"Dec 17, 2019","1,166.44","1,168.28","1,157.89","1,158.75",-0.46
"Dec 16, 2019","1,162.24","1,164.85","1,157.45","1,164.12",-0.11
"Dec 13, 2019","1,152.93","1,166.58","1,150.07","1,165.36",0.78
"Dec 12, 2019","1,179.44","1,180.61","1,155.46","1,156.39",-2.12
"Dec 11, 2019","1,180.53","1,181.56","1,174.49","1,181.44",-0.00
"Dec 10, 2019","1,183.50","1,186.57","1,178.40","1,181.46",-0.06
"Dec 09, 2019","1,185.13","1,185.93","1,178.16","1,182.19",-0.43
"Dec 06, 2019","1,195.23","1,195.23","1,185.94","1,187.27",-0.99
"Dec 05, 2019","1,196.12","1,201.03","1,193.93","1,199.10",0.21
"Dec 04, 2019","1,201.05","1,201.43","1,190.30","1,196.60",-0.51
"Dec 03, 2019","1,195.45","1,204.83","1,194.86","1,202.72",0.98
"Dec 02, 2019","1,196.15","1,196.50","1,182.10","1,190.99",-0.63
"Nov 29, 2019","1,197.35","1,202.07","1,194.33","1,198.57",0.34
"Nov 28, 2019","1,194.50","1,194.50","1,194.50","1,194.50",0.00
"Nov 27, 2019","1,198.37","1,201.14","1,191.47","1,194.50",-0.48
"Nov 26, 2019","1,183.80","1,200.93","1,183.80","1,200.21",1.39
"Nov 25, 2019","1,193.86","1,201.05","1,182.72","1,183.72",-1.03
"Nov 22, 2019","1,206.57","1,207.27","1,193.61","1,196.02",-0.95
"Nov 21, 2019","1,213.67","1,220.40","1,206.24","1,207.55",-0.76
"Nov 20, 2019","1,212.00","1,226.28","1,205.42","1,216.75",0.82
"Nov 19, 2019","1,195.04","1,209.15","1,193.91","1,206.80",1.02
"Nov 18, 2019","1,183.74","1,198.71","1,183.74","1,194.58",1.19
"Nov 15, 2019","1,184.58","1,188.31","1,175.15","1,180.48",-0.62
"Nov 14, 2019","1,186.04","1,188.51","1,179.88","1,187.83",0.32
"Nov 13, 2019","1,171.85","1,185.00","1,171.85","1,184.10",1.62
"Nov 12, 2019","1,157.89","1,168.36","1,155.17","1,165.25",0.64
"Nov 11, 2019","1,150.97","1,161.26","1,150.86","1,157.86",1.03
"Nov 08, 2019","1,150.36","1,161.52","1,145.73","1,146.09",0.19
"Nov 07, 2019","1,150.72","1,150.72","1,138.28","1,143.97",-1.24
"Nov 06, 2019","1,141.10","1,158.69","1,140.57","1,158.33",1.61
"Nov 05, 2019","1,159.27","1,159.27","1,129.54","1,140.02",-1.89
"Nov 04, 2019","1,193.15","1,193.15","1,160.55","1,161.93",-3.15
"Nov 01, 2019","1,225.18","1,225.31","1,199.46","1,199.72",-2.46
"Oct 31, 2019","1,223.58","1,242.45","1,223.47","1,229.94",0.87
"Oct 30, 2019","1,205.48","1,222.95","1,201.11","1,219.28",1.01
"Oct 29, 2019","1,204.73","1,214.26","1,203.66","1,207.11",0.76
"Oct 28, 2019","1,204.78","1,204.78","1,192.76","1,198.06",-0.77
"Oct 25, 2019","1,226.95","1,227.27","1,206.47","1,207.34",-1.43
"Oct 24, 2019","1,206.89","1,233.47","1,206.25","1,224.84",1.20
"Oct 23, 2019","1,216.61","1,225.44","1,206.50","1,210.35",-0.47
"Oct 22, 2019","1,246.45","1,253.29","1,215.11","1,216.10",-2.28
"Oct 21, 2019","1,252.03","1,252.03","1,236.77","1,244.42",-1.11
"Oct 18, 2019","1,260.50","1,262.35","1,253.30","1,258.34",0.00
"Oct 17, 2019","1,257.03","1,264.15","1,252.08","1,258.33",-0.03
"Oct 16, 2019","1,261.19","1,261.19","1,242.53","1,258.65",-0.36
"Oct 15, 2019","1,279.65","1,285.54","1,257.53","1,263.22",-1.25
"Oct 14, 2019","1,282.26","1,293.53","1,275.46","1,279.19",0.22
"Oct 11, 2019","1,296.61","1,296.61","1,272.79","1,276.36",-2.21
"Oct 10, 2019","1,307.49","1,311.55","1,296.79","1,305.27",-0.51
"Oct 09, 2019","1,303.23","1,315.39","1,303.23","1,312.00",0.36
"Oct 08, 2019","1,302.88","1,307.80","1,297.64","1,307.35",1.01
"Oct 07, 2019","1,293.42","1,297.46","1,285.32","1,294.29",0.10
"Oct 04, 2019","1,286.81","1,299.61","1,285.65","1,292.98",0.65
"Oct 03, 2019","1,281.65","1,296.59","1,280.55","1,284.57",0.50
"Oct 02, 2019","1,272.61","1,284.97","1,266.13","1,278.18",0.84
"Oct 01, 2019","1,242.40","1,271.32","1,233.74","1,267.58",1.96
"Sep 30, 2019","1,240.61","1,252.38","1,238.51","1,243.27",0.05
"Sep 27, 2019","1,253.72","1,253.88","1,236.34","1,242.67",-0.90
"Sep 26, 2019","1,243.02","1,255.76","1,243.02","1,253.91",1.12
"Sep 25, 2019","1,255.81","1,256.58","1,234.58","1,239.97",-1.18
"Sep 24, 2019","1,237.27","1,258.06","1,236.95","1,254.78",1.64
"Sep 23, 2019","1,239.56","1,244.50","1,231.69","1,234.54",0.13
"Sep 20, 2019","1,228.00","1,236.82","1,219.63","1,232.93",0.32
"Sep 19, 2019","1,222.07","1,229.91","1,219.41","1,228.99",0.62
"Sep 18, 2019","1,220.12","1,226.04","1,213.71","1,221.40",0.56
"Sep 17, 2019","1,189.25","1,220.70","1,189.25","1,214.58",2.93
"Sep 16, 2019","1,188.17","1,191.04","1,176.10","1,179.95",-0.64
"Sep 13, 2019","1,190.75","1,198.23","1,175.74","1,187.57",-0.90
"Sep 12, 2019","1,192.37","1,214.62","1,192.37","1,198.30",1.19
"Sep 11, 2019","1,201.15","1,223.93","1,183.70","1,184.18",-1.77
"Sep 10, 2019","1,251.13","1,251.13","1,203.99","1,205.46",-4.08
"Sep 09, 2019","1,311.08","1,314.03","1,255.94","1,256.74",-4.53
"Sep 06, 2019","1,318.69","1,328.20","1,313.71","1,316.42",-0.14
"Sep 05, 2019","1,340.58","1,340.71","1,315.28","1,318.30",-2.41
"Sep 04, 2019","1,356.12","1,360.34","1,349.01","1,350.85",-0.91
"Sep 03, 2019","1,351.94","1,369.66","1,351.47","1,363.22",1.25
"Sep 02, 2019","1,346.34","1,346.34","1,346.34","1,346.34",-0.00
"Aug 30, 2019","1,353.51","1,353.51","1,341.70","1,346.35",-0.76
"Aug 29, 2019","1,365.24","1,365.29","1,351.74","1,356.68",-0.83
"Aug 28, 2019","1,376.35","1,379.18","1,363.96","1,368.07",-0.62
"Aug 27, 2019","1,362.01","1,377.63","1,362.01","1,376.67",0.99
"Aug 26, 2019","1,354.81","1,364.00","1,354.00","1,363.14",0.36
"Aug 23, 2019","1,352.54","1,361.16","1,351.54","1,358.29",0.76
"Aug 22, 2019","1,344.23","1,348.39","1,340.81","1,348.10",0.22
"Aug 21, 2019","1,339.68","1,346.56","1,338.23","1,345.16",0.15
"Aug 20, 2019","1,340.52","1,346.91","1,337.54","1,343.10",0.25
"Aug 19, 2019","1,343.59","1,344.01","1,337.75","1,339.74",-0.65
"Aug 16, 2019","1,357.21","1,358.14","1,346.33","1,348.47",-0.68
"Aug 15, 2019","1,341.13","1,359.23","1,340.60","1,357.74",1.34
"Aug 14, 2019","1,339.60","1,347.10","1,338.43","1,339.80",0.61
"Aug 13, 2019","1,333.78","1,337.05","1,317.71","1,331.65",-0.27
"Aug 12, 2019","1,331.78","1,341.23","1,330.39","1,335.28",0.57
